name,num
TV Movies,766
Comedy,13176
Western,1042
Thriller,7619
Animation,1931
History,1398
Crime,4304
Foreign,1619
Family,2767
Adventure,3490
Science Fiction,3044
Horror,4671
Mystery,2464
Romance,6730
Fantasy,2309
Music,1597
Documentary,3930
Drama,20244
Action,6592
War,1322
