name,avg
TV Movie,3.595226232
Comedy,3.536896288
Western,3.658921397
Thriller,3.562939076
Animation,3.597373358
History,3.426298852
Crime,3.572429013
Foreign,3.495752099
Family,3.396431269
Adventure,3.503404282
Science Fiction,3.52566976
Mystery,3.653242827
Horror,3.485368318
Romance,3.55043272
Fantasy,3.50711663
Music,3.441121711
Documentary,3.485679582
Drama,3.535952802
Action,3.55827671
War,3.501808199
